"","Season","Name","Team","POS","Salary","Years","Total.Value","Avg.Annual"
"543",2010,"Manny Delcarmen","BOS ","P","$905,000 ","1 (2010)","$905,000 ","$905,000 "
"544",2010,"Manny Parra","MIL ","P","$440,000 ","1 (2010)","$440,000 ","$440,000 "
"545",2010,"Manny Ramirez","LAD ","OF","$18,695,006 ","1 (2010)","$18,695,006 ","$18,695,006 "
"546",2010,"Manuel Corpas","COL ","P","$2,750,000 ","1 (2010)","$2,750,000 ","$2,750,000 "
"547",2010,"Marc Rzepczynski","TOR ","P","$404,000 ","1 (2010)","$404,000 ","$404,000 "
"548",2010,"Marco Scutaro","BOS ","SS","$5,500,000 ","1 (2010)","$5,500,000 ","$5,500,000 "
"549",2010,"Marcus Thames","NYY ","OF","$900,000 ","1 (2010)","$900,000 ","$900,000 "
"550",2010,"Mariano Rivera","NYY ","P","$15,000,000 ","1 (2010)","$15,000,000 ","$15,000,000 "
"551",2010,"Mark Buehrle","CWS ","P","$14,000,000 ","1 (2010)","$14,000,000 ","$14,000,000 "
"552",2010,"Mark DeRosa","SF ","2B","$6,000,000 ","1 (2010)","$6,000,000 ","$6,000,000 "
"553",2010,"Mark Ellis","OAK ","2B","$5,500,000 ","1 (2010)","$5,500,000 ","$5,500,000 "
"554",2010,"Mark Grudzielanek","CLE ","2B","$600,000 ","1 (2010)","$600,000 ","$600,000 "
"555",2010,"Mark Hendrickson","BAL ","P","$1,200,000 ","1 (2010)","$1,200,000 ","$1,200,000 "
"556",2010,"Mark Kotsay","CWS ","OF","$1,500,000 ","1 (2010)","$1,500,000 ","$1,500,000 "
"557",2010,"Mark Lowe","SEA ","P","$1,150,000 ","1 (2010)","$1,150,000 ","$1,150,000 "
"558",2010,"Mark Reynolds","ARI ","3B","$833,333 ","1 (2010)","$833,333 ","$833,333 "
"559",2010,"Mark Teahen","CWS ","OF","$3,750,000 ","1 (2010)","$3,750,000 ","$3,750,000 "
"560",2010,"Mark Teixeira","NYY ","1B","$20,625,000 ","8 (2009-16)","$180,000,000 ","$22,500,000 "
"561",2010,"Marlon Byrd","CHC ","OF","$3,000,000 ","1 (2010)","$3,000,000 ","$3,000,000 "
"562",2010,"Martin Prado","ATL ","2B","$440,000 ","1 (2010)","$440,000 ","$440,000 "
"563",2010,"Mat Gamel","MIL ","1B","$406,500 ","1 (2010)","$406,500 ","$406,500 "
"564",2010,"Mat Latos","SD ","P","$407,800 ","1 (2010)","$407,800 ","$407,800 "
"565",2010,"Matt Albers","BAL ","P","$680,000 ","1 (2010)","$680,000 ","$680,000 "
"566",2010,"Matt Belisle","COL ","P","$850,000 ","1 (2010)","$850,000 ","$850,000 "
"567",2010,"Matt Capps","WSH ","P","$3,500,000 ","1 (2010)","$3,500,000 ","$3,500,000 "
"568",2010,"Matt Daley","COL ","P","$404,000 ","1 (2010)","$404,000 ","$404,000 "
"569",2010,"Matt Diaz","ATL ","OF","$2,550,000 ","1 (2010)","$2,550,000 ","$2,550,000 "
"570",2010,"Matt Garza","TB ","P","$3,350,000 ","1 (2010)","$3,350,000 ","$3,350,000 "
"571",2010,"Matt Guerrier","MIN ","P","$3,150,000 ","1 (2010)","$3,150,000 ","$3,150,000 "
"572",2010,"Matt Harrison","TEX ","P","$406,090 ","1 (2010)","$406,090 ","$406,090 "
"573",2010,"Matt Holliday","STL ","LF","$16,333,327 ","7 (2010-16)","$120,000,000 ","$17,142,857 "
"574",2010,"Matt Joyce","TB ","OF","$406,000 ","1 (2010)","$406,000 ","$406,000 "
"575",2010,"Matt Kemp","LAD ","OF","$4,000,000 ","1 (2010)","$4,000,000 ","$4,000,000 "
"576",2010,"Matt LaPorta","CLE ","OF","$402,700 ","1 (2010)","$402,700 ","$402,700 "
"577",2010,"Matt Lindstrom","HOU ","P","$1,625,000 ","1 (2010)","$1,625,000 ","$1,625,000 "
"578",2010,"Matt Palmer","LAA ","P","$420,000 ","1 (2010)","$420,000 ","$420,000 "
"579",2010,"Matt Stairs","SD ","OF","$700,000 ","1 (2010)","$700,000 ","$700,000 "
"580",2010,"Matt Thornton","CWS ","P","$2,250,000 ","1 (2010)","$2,250,000 ","$2,250,000 "
"581",2010,"Matt Tuiasosopo","SEA ","SS","$401,000 ","1 (2010)","$401,000 ","$401,000 "
"582",2010,"Matt Wieters","BAL ","C","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"583",2010,"Max Scherzer","DET ","P","$1,500,000 ","1 (2010)","$1,500,000 ","$1,500,000 "
"584",2010,"Melky Cabrera","ATL ","OF","$3,100,000 ","1 (2010)","$3,100,000 ","$3,100,000 "
"585",2010,"Melvin Mora","COL ","3B","$1,275,000 ","1 (2010)","$1,275,000 ","$1,275,000 "
"586",2010,"Melvin Upton Jr","TB ","OF","$3,000,000 ","1 (2010)","$3,000,000 ","$3,000,000 "
"587",2010,"Merkin Valdez","TOR ","P","$409,500 ","1 (2010)","$409,500 ","$409,500 "
"588",2010,"Micah Owings","CIN ","P","$440,000 ","1 (2010)","$440,000 ","$440,000 "
"589",2010,"Michael Bourn","HOU ","OF","$2,400,000 ","1 (2010)","$2,400,000 ","$2,400,000 "
"590",2010,"Michael Brantley","CLE ","OF","$400,800 ","1 (2010)","$400,800 ","$400,800 "
"591",2010,"Michael Cuddyer","MIN ","OF","$9,416,666 ","1 (2010)","$9,416,666 ","$9,416,666 "
"592",2010,"Michael Gonzalez","BAL ","P","$6,000,000 ","1 (2010)","$6,000,000 ","$6,000,000 "
"593",2010,"Michael Morse","WSH ","1B","$410,000 ","1 (2010)","$410,000 ","$410,000 "
"594",2010,"Michael Wuertz","OAK ","P","$2,200,000 ","1 (2010)","$2,200,000 ","$2,200,000 "
"595",2010,"Michael Young","TEX ","3B","$13,174,974 ","1 (2010)","$13,174,974 ","$13,174,974 "
"596",2010,"Miguel Batista","WSH ","P","$1,000,000 ","1 (2010)","$1,000,000 ","$1,000,000 "
"597",2010,"Miguel Cabrera","DET ","1B","$20,000,000 ","8 (2008-15)","$152,300,000 ","$19,037,500 "
"598",2010,"Miguel Montero","ARI ","C","$2,000,000 ","1 (2010)","$2,000,000 ","$2,000,000 "
"599",2010,"Miguel Olivo","COL ","C","$2,000,000 ","1 (2010)","$2,000,000 ","$2,000,000 "
"600",2010,"Miguel Tejada","BAL ","3B","$6,000,000 ","1 (2010)","$6,000,000 ","$6,000,000 "
"601",2010,"Mike Adams","SD ","P","$1,000,000 ","1 (2010)","$1,000,000 ","$1,000,000 "
"602",2010,"Mike Aviles","KC ","SS","$429,000 ","1 (2010)","$429,000 ","$429,000 "
"603",2010,"Mike Cameron","BOS ","OF","$7,750,000 ","1 (2010)","$7,750,000 ","$7,750,000 "
"604",2010,"Mike Ekstrom","TB ","P","$402,700 ","1 (2010)","$402,700 ","$402,700 "
"605",2010,"Mike Fontenot","CHC ","2B","$1,000,000 ","1 (2010)","$1,000,000 ","$1,000,000 "
"606",2010,"Mike Jacobs","NYM ","1B","$900,000 ","1 (2010)","$900,000 ","$900,000 "
"607",2010,"Mike Lamb","MIA ","3B","$500,000 ","1 (2010)","$500,000 ","$500,000 "
"608",2010,"Mike Lincoln","CIN ","P","$2,500,000 ","1 (2010)","$2,500,000 ","$2,500,000 "
"609",2010,"Mike Lowell","BOS ","3B","$12,500,000 ","1 (2010)","$12,500,000 ","$12,500,000 "
"610",2010,"Mike McCoy","TOR ","2B","$400,700 ","1 (2010)","$400,700 ","$400,700 "
"611",2010,"Mike Napoli","LAA ","C","$3,600,000 ","1 (2010)","$3,600,000 ","$3,600,000 "
"612",2010,"Mike Pelfrey","NYM ","P","$500,000 ","1 (2010)","$500,000 ","$500,000 "
"613",2010,"Mike Redmond","CLE ","C","$850,000 ","1 (2010)","$850,000 ","$850,000 "
"614",2010,"Mike Sweeney","SEA ","1B","$650,000 ","1 (2010)","$650,000 ","$650,000 "
"615",2010,"Milton Bradley","SEA ","OF","$11,000,000 ","1 (2010)","$11,000,000 ","$11,000,000 "
"616",2010,"Mitch Stetter","MIL ","P","$420,000 ","1 (2010)","$420,000 ","$420,000 "
"617",2010,"Mitch Talbot","CLE ","P","$400,700 ","1 (2010)","$400,700 ","$400,700 "
"618",2010,"Mitchell Boggs","STL ","P","$402,000 ","1 (2010)","$402,000 ","$402,000 "
"619",2010,"Nate McLouth","ATL ","OF","$5,000,000 ","1 (2010)","$5,000,000 ","$5,000,000 "
"620",2010,"Nate Robertson","MIA ","P","$10,000,000 ","1 (2010)","$10,000,000 ","$10,000,000 "
"621",2010,"Nate Schierholtz","SF ","OF","$416,500 ","1 (2010)","$416,500 ","$416,500 "
"622",2010,"Neftali Feliz","TEX ","P","$402,000 ","1 (2010)","$402,000 ","$402,000 "
"623",2010,"Nelson Cruz","TEX ","OF","$440,000 ","1 (2010)","$440,000 ","$440,000 "
"624",2010,"Nick Blackburn","MIN ","P","$750,000 ","1 (2010)","$750,000 ","$750,000 "
"625",2010,"Nick Hundley","SD ","C","$415,700 ","1 (2010)","$415,700 ","$415,700 "
"626",2010,"Nick Johnson","NYY ","1B","$5,500,000 ","1 (2010)","$5,500,000 ","$5,500,000 "
"627",2010,"Nick Markakis","BAL ","OF","$7,100,000 ","6 (2009-14)","$66,100,000 ","$11,016,667 "
"628",2010,"Nick Masset","CIN ","P","$1,035,000 ","1 (2010)","$1,035,000 ","$1,035,000 "
"629",2010,"Nick Punto","MIN ","SS","$4,000,000 ","1 (2010)","$4,000,000 ","$4,000,000 "
"630",2010,"Nick Stavinoha","STL ","OF","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"631",2010,"Nick Swisher","NYY ","OF","$6,850,000 ","1 (2010)","$6,850,000 ","$6,850,000 "
"632",2010,"Nolan Reimold","BAL ","OF","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"633",2010,"Nyjer Morgan","WSH ","OF","$426,500 ","1 (2010)","$426,500 ","$426,500 "
"634",2010,"Octavio Dotel","PIT ","P","$3,250,000 ","1 (2010)","$3,250,000 ","$3,250,000 "
"635",2010,"Oliver Perez","NYM ","P","$12,000,000 ","1 (2010)","$12,000,000 ","$12,000,000 "
"636",2010,"Omar Infante","ATL ","SS","$2,225,000 ","1 (2010)","$2,225,000 ","$2,225,000 "
"637",2010,"Omar Vizquel","CWS ","SS","$1,375,000 ","1 (2010)","$1,375,000 ","$1,375,000 "
"638",2010,"Orlando Cabrera","CIN ","SS","$2,020,000 ","1 (2010)","$2,020,000 ","$2,020,000 "
"639",2010,"Orlando Hudson","MIN ","2B","$5,000,000 ","1 (2010)","$5,000,000 ","$5,000,000 "
"640",2010,"Oscar Salazar","SD ","SS","$408,500 ","1 (2010)","$408,500 ","$408,500 "
"641",2010,"Pablo Sandoval","SF ","3B","$465,000 ","1 (2010)","$465,000 ","$465,000 "
"642",2010,"Pat Burrell","TB ","OF","$9,000,000 ","1 (2010)","$9,000,000 ","$9,000,000 "
"643",2010,"Pat Neshek","MIN ","P","$625,000 ","1 (2010)","$625,000 ","$625,000 "
"644",2010,"Paul Janish","CIN ","SS","$412,500 ","1 (2010)","$412,500 ","$412,500 "
"645",2010,"Paul Konerko","CWS ","1B","$12,000,000 ","1 (2010)","$12,000,000 ","$12,000,000 "
"646",2010,"Paul Maholm","PIT ","P","$5,000,000 ","1 (2010)","$5,000,000 ","$5,000,000 "
"647",2010,"Pedro Feliciano","NYM ","P","$2,900,000 ","1 (2010)","$2,900,000 ","$2,900,000 "
"648",2010,"Pedro Feliz","HOU ","3B","$4,500,000 ","1 (2010)","$4,500,000 ","$4,500,000 "
"649",2010,"Peter Moylan","ATL ","P","$1,150,000 ","1 (2010)","$1,150,000 ","$1,150,000 "
"650",2010,"Phil Coke","DET ","P","$425,000 ","1 (2010)","$425,000 ","$425,000 "
"651",2010,"Phil Hughes","NYY ","P","$447,000 ","1 (2010)","$447,000 ","$447,000 "
"652",2010,"Placido Polanco","PHI ","3B","$5,166,666 ","1 (2010)","$5,166,666 ","$5,166,666 "
"653",2010,"Prince Fielder","MIL ","1B","$11,000,000 ","1 (2010)","$11,000,000 ","$11,000,000 "
"654",2010,"Rafael Betancourt","COL ","P","$3,775,000 ","1 (2010)","$3,775,000 ","$3,775,000 "
"655",2010,"Rafael Furcal","LAD ","SS","$9,500,000 ","1 (2010)","$9,500,000 ","$9,500,000 "
"656",2010,"Rafael Perez","CLE ","P","$795,000 ","1 (2010)","$795,000 ","$795,000 "
"657",2010,"Rafael Soriano","TB ","P","$7,250,000 ","1 (2010)","$7,250,000 ","$7,250,000 "
"658",2010,"Rajai Davis","OAK ","OF","$1,350,000 ","1 (2010)","$1,350,000 ","$1,350,000 "
"659",2010,"Ramiro Pena","NYY ","SS","$412,100 ","1 (2010)","$412,100 ","$412,100 "
"660",2010,"Ramon Castro","CWS ","C","$800,000 ","1 (2010)","$800,000 ","$800,000 "
"661",2010,"Ramon Hernandez","CIN ","C","$3,868,376 ","1 (2010)","$3,868,376 ","$3,868,376 "
"662",2010,"Ramon Ortiz","LAD ","P","$1,000,000 ","1 (2010)","$1,000,000 ","$1,000,000 "
"663",2010,"Ramon Pena","CWS ","P","$1,200,000 ","1 (2010)","$1,200,000 ","$1,200,000 "
"664",2010,"Ramon Ramirez","BOS ","P","$1,155,000 ","1 (2010)","$1,155,000 ","$1,155,000 "
"665",2010,"Ramon Santiago","DET ","SS","$1,250,000 ","1 (2010)","$1,250,000 ","$1,250,000 "
"666",2010,"Ramon Troncoso","LAD ","P","$416,000 ","1 (2010)","$416,000 ","$416,000 "
"667",2010,"Randy Choate","TB ","P","$700,000 ","1 (2010)","$700,000 ","$700,000 "
"668",2010,"Randy Flores","COL ","P","$650,000 ","1 (2010)","$650,000 ","$650,000 "
"669",2010,"Randy Ruiz","TOR ","1B","$404,300 ","1 (2010)","$404,300 ","$404,300 "
"670",2010,"Randy Wells","CHC ","P","$427,000 ","1 (2010)","$427,000 ","$427,000 "
"671",2010,"Randy Williams","CWS ","P","$415,000 ","1 (2010)","$415,000 ","$415,000 "
"672",2010,"Randy Winn","NYY ","OF","$1,100,000 ","1 (2010)","$1,100,000 ","$1,100,000 "
"673",2010,"Randy Wolf","MIL ","P","$8,800,276 ","1 (2010)","$8,800,276 ","$8,800,276 "
"674",2010,"Raul Ibanez","PHI ","OF","$12,166,666 ","1 (2010)","$12,166,666 ","$12,166,666 "
"675",2010,"Reed Johnson","LAD ","OF","$800,000 ","1 (2010)","$800,000 ","$800,000 "
"676",2010,"Reggie Willits","LAA ","OF","$625,000 ","1 (2010)","$625,000 ","$625,000 "
"677",2010,"Reid Brignac","TB ","SS","$403,700 ","1 (2010)","$403,700 ","$403,700 "
"678",2010,"Renyel Pinto","MIA ","P","$1,075,000 ","1 (2010)","$1,075,000 ","$1,075,000 "
"679",2010,"Rich Harden","TEX ","P","$6,500,000 ","1 (2010)","$6,500,000 ","$6,500,000 "
"680",2010,"Rick Ankiel","KC ","OF","$2,750,000 ","1 (2010)","$2,750,000 ","$2,750,000 "
"681",2010,"Rick Porcello","DET ","P","$1,920,000 ","1 (2010)","$1,920,000 ","$1,920,000 "
"682",2010,"Rickie Weeks","MIL ","2B","$2,750,000 ","1 (2010)","$2,750,000 ","$2,750,000 "
"683",2010,"Ricky Nolasco","MIA ","P","$3,800,000 ","1 (2010)","$3,800,000 ","$3,800,000 "
"684",2010,"Ricky Romero","TOR ","P","$408,300 ","1 (2010)","$408,300 ","$408,300 "
"685",2010,"Rob Johnson","SEA ","C","$412,500 ","1 (2010)","$412,500 ","$412,500 "
"686",2010,"Roberto Hernandez","CLE ","P","$5,087,500 ","1 (2010)","$5,087,500 ","$5,087,500 "
"687",2010,"Robinson Cano","NYY ","2B","$9,000,000 ","1 (2010)","$9,000,000 ","$9,000,000 "
"688",2010,"Robinson Tejeda","KC ","P","$950,000 ","1 (2010)","$950,000 ","$950,000 "
"689",2010,"Rod Barajas","NYM ","C","$500,000 ","1 (2010)","$500,000 ","$500,000 "
"690",2010,"Rodrigo Lopez","ARI ","P","$650,000 ","1 (2010)","$650,000 ","$650,000 "
"691",2010,"Roman Colon","KC ","P","$665,000 ","1 (2010)","$665,000 ","$665,000 "
"692",2010,"Ronald Belisario","LAD ","P","$412,500 ","1 (2010)","$412,500 ","$412,500 "
"693",2010,"Ronnie Belliard","LAD ","2B","$825,000 ","1 (2010)","$825,000 ","$825,000 "
"694",2010,"Ronny Cedeno","PIT ","2B","$1,125,000 ","1 (2010)","$1,125,000 ","$1,125,000 "
"695",2010,"Ronny Paulino","MIA ","C","$1,100,000 ","1 (2010)","$1,100,000 ","$1,100,000 "
"696",2010,"Ross Detwiler","WSH ","P","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"697",2010,"Ross Gload","PHI ","1B","$1,000,000 ","1 (2010)","$1,000,000 ","$1,000,000 "
"698",2010,"Ross Ohlendorf","PIT ","P","$439,000 ","1 (2010)","$439,000 ","$439,000 "
"699",2010,"Roy Halladay","PHI ","P","$15,750,000 ","1 (2010)","$15,750,000 ","$15,750,000 "
"700",2010,"Roy Oswalt","HOU ","P","$15,000,000 ","1 (2010)","$15,000,000 ","$15,000,000 "
"701",2010,"Ruben Tejada","NYM ","SS","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"702",2010,"Russell Branyan","CLE ","1B","$1,500,000 ","1 (2010)","$1,500,000 ","$1,500,000 "
"703",2010,"Russell Martin","LAD ","C","$5,050,000 ","1 (2010)","$5,050,000 ","$5,050,000 "
"704",2010,"Rusty Ryal","ARI ","3B","$401,000 ","1 (2010)","$401,000 ","$401,000 "
"705",2010,"Ryan Braun","MIL ","OF","$1,287,500 ","1 (2010)","$1,287,500 ","$1,287,500 "
"706",2010,"Ryan Budde","LAA ","C","$402,200 ","1 (2010)","$402,200 ","$402,200 "
"707",2010,"Ryan Church","PIT ","OF","$1,500,000 ","1 (2010)","$1,500,000 ","$1,500,000 "
"708",2010,"Ryan Dempster","CHC ","P","$13,500,000 ","1 (2010)","$13,500,000 ","$13,500,000 "
"709",2010,"Ryan Doumit","PIT ","C","$3,650,000 ","1 (2010)","$3,650,000 ","$3,650,000 "
"710",2010,"Ryan Franklin","STL ","P","$3,050,000 ","1 (2010)","$3,050,000 ","$3,050,000 "
"711",2010,"Ryan Garko","TEX ","1B","$550,000 ","1 (2010)","$550,000 ","$550,000 "
"712",2010,"Ryan Hanigan","CIN ","C","$415,000 ","1 (2010)","$415,000 ","$415,000 "
"713",2010,"Ryan Langerhans","SEA ","OF","$525,000 ","1 (2010)","$525,000 ","$525,000 "
"714",2010,"Ryan Ludwick","STL ","OF","$5,450,000 ","1 (2010)","$5,450,000 ","$5,450,000 "
"715",2010,"Ryan Madson","PHI ","P","$4,833,333 ","1 (2010)","$4,833,333 ","$4,833,333 "
"716",2010,"Ryan Perry","DET ","P","$408,500 ","1 (2010)","$408,500 ","$408,500 "
"717",2010,"Ryan Raburn","DET ","OF","$438,000 ","1 (2010)","$438,000 ","$438,000 "
"718",2010,"Ryan Rowland-Smith","SEA ","P","$440,000 ","1 (2010)","$440,000 ","$440,000 "
"719",2010,"Ryan Spilborghs","COL ","OF","$1,300,000 ","1 (2010)","$1,300,000 ","$1,300,000 "
"720",2010,"Ryan Sweeney","OAK ","OF","$420,000 ","1 (2010)","$420,000 ","$420,000 "
"721",2010,"Ryan Theriot","CHC ","SS","$2,600,000 ","1 (2010)","$2,600,000 ","$2,600,000 "
"722",2010,"Ryan Zimmerman","WSH ","3B","$6,350,000 ","5 (2009-13)","$45,000,000 ","$9,000,000 "
"723",2010,"Ryota Igarashi","NYM ","P","$1,250,000 ","1 (2010)","$1,250,000 ","$1,250,000 "
"724",2010,"Samuel Gervacio","HOU ","P","$402,500 ","1 (2010)","$402,500 ","$402,500 "
"725",2010,"Scot Shields","LAA ","P","$5,350,000 ","1 (2010)","$5,350,000 ","$5,350,000 "
"726",2010,"Scott Atchison","BOS ","P","$420,000 ","1 (2010)","$420,000 ","$420,000 "
"727",2010,"Scott Baker","MIN ","P","$3,000,000 ","1 (2010)","$3,000,000 ","$3,000,000 "
"728",2010,"Scott Downs","TOR ","P","$4,000,000 ","1 (2010)","$4,000,000 ","$4,000,000 "
"729",2010,"Scott Feldman","TEX ","P","$2,425,000 ","1 (2010)","$2,425,000 ","$2,425,000 "
"730",2010,"Scott Hairston","SD ","OF","$2,450,000 ","1 (2010)","$2,450,000 ","$2,450,000 "
"731",2010,"Scott Kazmir","LAA ","P","$8,000,000 ","1 (2010)","$8,000,000 ","$8,000,000 "
"732",2010,"Scott Lewis","CLE ","P","$422,400 ","1 (2010)","$422,400 ","$422,400 "
"733",2010,"Scott Linebrink","CWS ","P","$5,000,000 ","1 (2010)","$5,000,000 ","$5,000,000 "
"734",2010,"Scott Podsednik","KC ","OF","$1,650,000 ","1 (2010)","$1,650,000 ","$1,650,000 "
"735",2010,"Scott Richmond","TOR ","P","$409,900 ","1 (2010)","$409,900 ","$409,900 "
"736",2010,"Scott Rolen","CIN ","3B","$7,666,666 ","1 (2010)","$7,666,666 ","$7,666,666 "
"737",2010,"Scott Schoeneweis","BOS ","P","$500,000 ","1 (2010)","$500,000 ","$500,000 "
"738",2010,"Scott Sizemore","DET ","2B","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"739",2010,"Sean Burnett","WSH ","P","$775,000 ","1 (2010)","$775,000 ","$775,000 "
"740",2010,"Sean Gallagher","SD ","P","$413,500 ","1 (2010)","$413,500 ","$413,500 "
"741",2010,"Sean Green","NYM ","P","$975,000 ","1 (2010)","$975,000 ","$975,000 "
"742",2010,"Sean Marshall","CHC ","P","$950,000 ","1 (2010)","$950,000 ","$950,000 "
"743",2010,"Sean Rodriguez","TB ","3B","$405,500 ","1 (2010)","$405,500 ","$405,500 "
"744",2010,"Sean White","SEA ","P","$415,000 ","1 (2010)","$415,000 ","$415,000 "
"745",2010,"Sergio Mitre","NYY ","P","$850,000 ","1 (2010)","$850,000 ","$850,000 "
"746",2010,"Sergio Romo","SF ","P","$416,500 ","1 (2010)","$416,500 ","$416,500 "
"747",2010,"Sergio Santos","CWS ","P","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"748",2010,"Seth Smith","COL ","OF","$407,000 ","1 (2010)","$407,000 ","$407,000 "
"749",2010,"Shane Victorino","PHI ","OF","$5,000,000 ","1 (2010)","$5,000,000 ","$5,000,000 "
"750",2010,"Shaun Marcum","TOR ","P","$850,000 ","1 (2010)","$850,000 ","$850,000 "
"751",2010,"Shawn Camp","TOR ","P","$1,150,000 ","1 (2010)","$1,150,000 ","$1,150,000 "
"752",2010,"Shawn Kelley","SEA ","P","$412,500 ","1 (2010)","$412,500 ","$412,500 "
"753",2010,"Shin-Soo Choo","CLE ","OF","$461,100 ","1 (2010)","$461,100 ","$461,100 "
"754",2010,"Skip Schumaker","STL ","2B","$2,000,000 ","1 (2010)","$2,000,000 ","$2,000,000 "
"755",2010,"Stephen Drew","ARI ","SS","$3,400,000 ","1 (2010)","$3,400,000 ","$3,400,000 "
"756",2010,"Takashi Saito","ATL ","P","$3,200,000 ","1 (2010)","$3,200,000 ","$3,200,000 "
"757",2010,"Taylor Buchholz","COL ","P","$1,055,000 ","1 (2010)","$1,055,000 ","$1,055,000 "
"758",2010,"Taylor Teagarden","TEX ","C","$407,010 ","1 (2010)","$407,010 ","$407,010 "
"759",2010,"Ted Lilly","CHC ","P","$13,000,000 ","1 (2010)","$13,000,000 ","$13,000,000 "
"760",2010,"Terry Evans","LAA ","OF","$405,000 ","1 (2010)","$405,000 ","$405,000 "
"761",2010,"Tim Byrdak","HOU ","P","$1,600,000 ","1 (2010)","$1,600,000 ","$1,600,000 "
"762",2010,"Tim Hudson","ATL ","P","$9,000,000 ","1 (2010)","$9,000,000 ","$9,000,000 "
"763",2010,"Tim Lincecum","SF ","P","$9,000,000 ","1 (2010)","$9,000,000 ","$9,000,000 "
"764",2010,"Tim Stauffer","SD ","P","$415,100 ","1 (2010)","$415,100 ","$415,100 "
"765",2010,"Tim Wakefield","BOS ","P","$3,500,000 ","1 (2010)","$3,500,000 ","$3,500,000 "
"766",2010,"Todd Coffey","MIL ","P","$2,025,002 ","1 (2010)","$2,025,002 ","$2,025,002 "
"767",2010,"Todd Helton","COL ","1B","$17,775,000 ","1 (2010)","$17,775,000 ","$17,775,000 "
"768",2010,"Todd Wellemeyer","SF ","P","$1,000,000 ","1 (2010)","$1,000,000 ","$1,000,000 "
"769",2010,"Tom Gorzelanny","CHC ","P","$800,000 ","1 (2010)","$800,000 ","$800,000 "
"770",2010,"Tommy Hanson","ATL ","P","$435,000 ","1 (2010)","$435,000 ","$435,000 "
"771",2010,"Tommy Hunter","TEX ","P","$409,850 ","1 (2010)","$409,850 ","$409,850 "
"772",2010,"Tommy Manzella","HOU ","SS","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"773",2010,"Tony Abreu","ARI ","SS","$407,000 ","1 (2010)","$407,000 ","$407,000 "
"774",2010,"Tony Gwynn Jr.","SD ","OF","$419,800 ","1 (2010)","$419,800 ","$419,800 "
"775",2010,"Tony Sipp","CLE ","P","$407,300 ","1 (2010)","$407,300 ","$407,300 "
"776",2010,"Torii Hunter","LAA ","OF","$18,500,000 ","1 (2010)","$18,500,000 ","$18,500,000 "
"777",2010,"Travis Buck","OAK ","OF","$410,000 ","1 (2010)","$410,000 ","$410,000 "
"778",2010,"Travis Hafner","CLE ","DH","$11,500,000 ","1 (2010)","$11,500,000 ","$11,500,000 "
"779",2010,"Travis Ishikawa","SF ","1B","$417,000 ","1 (2010)","$417,000 ","$417,000 "
"780",2010,"Travis Snider","TOR ","OF","$405,800 ","1 (2010)","$405,800 ","$405,800 "
"781",2010,"Trever Miller","STL ","P","$2,000,000 ","1 (2010)","$2,000,000 ","$2,000,000 "
"782",2010,"Trevor Hoffman","MIL ","P","$7,500,000 ","1 (2010)","$7,500,000 ","$7,500,000 "
"783",2010,"Troy Glaus","ATL ","1B","$1,750,000 ","1 (2010)","$1,750,000 ","$1,750,000 "
"784",2010,"Troy Tulowitzki","COL ","SS","$3,500,000 ","1 (2010)","$3,500,000 ","$3,500,000 "
"785",2010,"Ty Wigginton","BAL ","3B","$3,500,000 ","1 (2010)","$3,500,000 ","$3,500,000 "
"786",2010,"Tyler Clippard","WSH ","P","$401,000 ","1 (2010)","$401,000 ","$401,000 "
"787",2010,"Tyler Colvin","CHC ","OF","$401,000 ","1 (2010)","$401,000 ","$401,000 "
"788",2010,"Tyler Walker","WSH ","P","$650,000 ","1 (2010)","$650,000 ","$650,000 "
"789",2010,"Tyson Ross","OAK ","P","$400,000 ","1 (2010)","$400,000 ","$400,000 "
"790",2010,"Ubaldo Jimenez","COL ","P","$1,250,000 ","1 (2010)","$1,250,000 ","$1,250,000 "
"791",2010,"Vernon Wells","TOR ","OF","$15,687,500 ","1 (2010)","$15,687,500 ","$15,687,500 "
"792",2010,"Vicente Padilla","LAD ","P","$5,025,000 ","1 (2010)","$5,025,000 ","$5,025,000 "
"793",2010,"Victor Martinez","BOS ","C","$7,700,000 ","1 (2010)","$7,700,000 ","$7,700,000 "
"794",2010,"Vladimir Guerrero","TEX ","DH","$5,500,000 ","1 (2010)","$5,500,000 ","$5,500,000 "
"795",2010,"Wade Davis","TB ","P","$404,900 ","1 (2010)","$404,900 ","$404,900 "
"796",2010,"Waldis Joaquin","SF ","P","$400,500 ","1 (2010)","$400,500 ","$400,500 "
"797",2010,"Wandy Rodriguez","HOU ","P","$5,000,000 ","1 (2010)","$5,000,000 ","$5,000,000 "
"798",2010,"Warner Madrigal","TEX ","P","$404,730 ","1 (2010)","$404,730 ","$404,730 "
"799",2010,"Wes Helms","MIA ","3B","$950,000 ","1 (2010)","$950,000 ","$950,000 "
"800",2010,"Wil Nieves","WSH ","C","$700,000 ","1 (2010)","$700,000 ","$700,000 "
